"id","sku","name","brand","price","stock","category","created_at","size","hsn","aliases","alias1","alias2","distributor_price"
"ab7ab3c3-a164-4ee7-b991-18eb102d2585","K-02","HEEL CUSHION SILICONE (PAIR) XL","Tynor","893.00","0",,"""2026-01-06T17:25:41.774Z""","XL",,,,,
"ab9e3c6e-f240-4cdd-9fd2-d26a729ecb93","B-29","CONTD CERVICAL PILLOW-MEMORY FOAM","Tynor","1799.00","0",,"""2026-01-06T17:25:41.774Z""","UNI",,,,,
"abded6f3-d405-4774-aac5-9767a097eef1","AS-004","LIFE Strips","ACCUSURE","558.00","0",,"""2025-12-30T06:49:03.935Z""","25T",,,,,
"aca5a317-7607-4279-acfe-86bb8c97ed77","A-14","A-14 UM HERNIA BELT (BLACK) - XL","UM","620.00","0",,"""2026-01-03T19:20:31.324Z""","XL",,,,,
"acad2825-d180-4ead-a4e3-ef97d7f02031","2000560","Morison BOTTLE & ACCESSORIES CLEANER 250 ML","Morison","249.00","0",,"""2025-12-20T17:49:08.577Z""","250ML",,,,,
"ace8389d-6a87-42b1-b970-82e52c29ab27","J-32","J-32 UM COMP. STOCKINGS MID THIGH (BEIGE) - M","UM","900.00","0",,"""2026-01-03T19:20:31.324Z""","M",,,,,
"ad45f342-3608-405b-8dd3-5f0b3f108c16","J-16","J-16 UM MONO WALK STICK POD (BLACK) - UNI","UM","80.00","0",,"""2026-01-03T19:20:31.324Z""","UNI",,,,,
"ad69d5e6-65b7-4403-853e-bb92b41327a9","F-24","F-24 UM ELASTIC KNEE SUPPORT WITH HINGES (GREY) - S","UM","750.00","0",,"""2026-01-03T19:20:31.324Z""","S",,,,,
"ae4af2b6-9530-4442-b3dd-74aba2f4fac9","J-11","J-11 UM MONO WALK STICK (BLACK) - UNI","UM","595.00","0",,"""2026-01-03T19:20:31.324Z""","UNI",,,,,
"aef02fe1-d1a3-4875-92ca-45406ca6163e","F-25","F-25 UM FUNCTIONAL KNEE SUPPORT (GREY) - L","UM","1500.00","0",,"""2026-01-03T19:20:31.324Z""","L",,,,,
"af0286f9-9fa8-4557-9f5c-870df199a521","D-12","D-12 UM HALLUX VALGUS SPLINT (BLACK) UNI - LT","UM","300.00","0",,"""2026-01-03T19:20:31.324Z""","LT",,,,,
"af0575f1-d119-4740-b375-36c87c473dc7","F-24","F-24 UM ELASTIC KNEE SUPPORT WITH HINGES (GREY) - L","UM","750.00","0",,"""2026-01-03T19:20:31.324Z""","L",,,,,
"af097bb7-f91a-4b32-9b35-424bcab759e5","2001775","Morison MBD BABY PERSONAL CARE MINI GIFT SET","Morison","165.00","0",,"""2025-12-20T17:49:08.577Z""",,,,,,
"af0cd32a-b91c-40e5-9518-082cf9a2f53d","L-39","TYNOR POD COMMODE CHAIR (25MM)","Tynor","55.00","0",,"""2026-01-06T17:25:41.774Z""","UNI",,,,,
"af24bba5-f0ca-44bb-a366-7805e2a2264f","B-02","B-02 UM CERVICAL SOFT COLLAR WITH SUPPORT (LT.GREY) - L","UM","370.00","0",,"""2026-01-03T19:20:31.324Z""","L",,,,,
"af32ec72-ecb6-4066-98e6-b12a8779f647","2001639","Morison MBD XTRA SOFT DIAPER PANTS (S)-40","Morison","374.06","0",,"""2025-12-20T17:49:08.577Z""","S-40",,,"PantS40",,
"af478a4b-39fc-47d3-b6b9-34b15ee9625d","B-03","B-03 UM CERVICAL COLLAR HARD ADJUSTABLE WHITE- L","UM","450.00","0",,"""2026-01-03T19:20:31.324Z""","L",,,,,
"af66fda3-4f71-450f-8564-b3404f0d4205","2001762","Morison CLASSIC CLEAN TOOTHBRUSH COMBO(8)+(4)","Morison","22.25","0",,"""2025-12-26T07:49:58.155Z""",,,,,,
"b016eaf5-d6dd-448d-808c-77e5d237d1a3","2001828","Morison MBD BABY POWDER 100 GM+BABY SOAP25G","Morison","93.43","0",,"""2025-12-26T07:49:58.155Z""","100GM",,,,,
"b01f0aea-77b8-4803-9eb0-680c26c1698c","J‐886","HEARING AID","ACCUSURE","3999.00","0",,"""2025-12-30T06:49:03.935Z""","No Size",,,,,
"b0a2b1e5-1489-46a2-beb1-b60049097237","A-16","A-16 UM SPINTECH TAYLOR'S BRACE (BLACK) - L & XL","UM","2875.00","0",,"""2026-01-03T19:20:31.324Z""","L & XL",,,,,
"b11aef07-eee7-4a8e-a906-9ed6e5ee537b","HA650","NON CONTACT THERMOMETER","ACCUSURE","1775.00","0",,"""2025-12-30T06:49:03.935Z""","No Size",,,,,
"b1905d15-2606-4192-82e9-bb6a646d800f","G-24","PELVIC TRACTION KIT WITH WEIGHT BAG - M","Tynor","2854.00","0",,"""2026-01-06T17:25:41.774Z""","M",,,,,
"b1c4c728-4a1f-40da-a253-812f772f419f","2000348","Morison BIGEN SPEEDY N.BLACK 881","Morison","549.00","0",,"""2025-12-26T07:49:58.155Z""",,,,,,
"b1ea2f39-b77b-4bc6-bf4d-718c8c967ac4","D-04","KNEE CAP (PAIR) SPL. SIZE - XXL","Tynor","419.00","0",,"""2026-01-06T17:25:41.774Z""","XXL",,,,,
"b2b958ae-ca08-442b-9d60-7a9ca970669a","I-06","I-06 UM SILICON INSOLE FULL LENGHT W/MEDIAL ARCH FOR FLAT FOOT TRQ - M","UM","1620.00","0",,"""2026-01-03T19:20:31.324Z""","M",,,,,
"b3020f31-dd4a-42ba-a35c-e6097e7bb799","L-01","CONTD. L.S. BELT - L (OAC)","Tynor","954.00","0",,"""2026-01-06T17:25:41.774Z""","L",,,,,
"b37c0aab-7b15-41b4-ae5c-b4e314f54b3f","I-67","MEDICAL COMPRESSION STOCKING KNEE HIGH CLASS 2 (PAIR) * - M","Tynor","1472.00","0",,"""2026-01-06T17:25:41.774Z""","M",,,,,
"b4535624-5341-42d7-833c-593b8c080681","D-51","WALKER BOOT AIR - M","Tynor","5595.00","0",,"""2026-01-06T17:25:41.774Z""","M",,,,,
"b460aa95-5e4b-4f95-a60c-c6004269370f","2001698","GINKGO BILOBA 120MG - 30 TABS","Elmeric","444.01","0",,"""2025-12-21T04:58:28.406Z""","30 Tablets",,,,,"222.00"
"b4968abd-f917-442d-ae36-8fe57842abc1","D-08","ELASTIC KNEE SUPPORT  - M","Tynor","830.00","0",,"""2026-01-06T17:25:41.774Z""","M",,,,,
"b4a461d9-069d-4eaa-a14d-15e03bba72e8","H-23","ORTHO CUSHION SEAT - UNI","Tynor","1676.00","0",,"""2026-01-06T17:25:41.774Z""","UNI",,,,,
"b4bf6735-9fec-42bc-ac2c-47d8d2ae9148","2000693","Morison BABY CARRIER BASIC PINK","Morison","950.00","0",,"""2025-12-20T17:49:08.577Z""",,,,,,
"b4c5a7a6-0027-40e3-a5b9-ee3ec800e431","F-07","F-07 UM KNEE SUPPORT OPEN PATELLA NEOPRENE (LT.GREY)- XXL","UM","1230.00","0",,"""2026-01-03T19:20:31.324Z""","XXL",,,,,
"b4cf883a-c422-4b44-b4eb-9c27af709c27","2000057","Morison ANTI COLIC NIPPLE - SMALL","Morison","28.13","0",,"""2025-12-20T17:49:08.577Z""","SMALL",,,,,
"b4dc8ddc-e405-45bf-98d2-baa77c0ae09b","A-11","CHEST BINDER SPL. SIZE - XXL","Tynor","1240.00","0",,"""2026-01-06T17:25:41.774Z""","XXL",,,,,
"b57b53cb-39e0-4247-a820-497f4db6d79b","2001497","Morison WIDE MOUTH NIPPLE - M","Morison","75.00","0",,"""2025-12-26T07:49:58.155Z""","MEDIUM",,,,,
"b5b3121e-af2c-40b7-976e-3cb50b9573e2","AS-0016","GOLD STRIPS","ACCUSURE","1359.00","0",,"""2025-12-30T06:49:03.935Z""","50T",,,,,
"b61338dd-f188-47cc-9425-bbf3fba7b1bf","D-06","KNEE CAP (WITH RIGID HINGE) - XL","Tynor","800.00","0",,"""2026-01-06T17:25:41.774Z""","XL",,,,,
"b6aaf535-ceee-41d8-a94a-18da574d145b","K-04","TOE SEPARATOR SILICONE (PAIR ) * - L","Tynor","195.00","0",,"""2026-01-06T17:25:41.774Z""","L",,,,,
"b70dc439-b82b-41e0-aa1c-c4e1480cab4c","SK033","SK-033 Shikon DIGITAL THERMOMETER","Shikon","175.00","0",,"""2025-12-26T06:25:32.846Z""","Uni",,,,,
"b719ebc6-b995-46ec-bb8c-3420d9d94b98","SK015C","SK-015C Shikon DIGITAL BLOOD PRESSURE MONITOR 15C","Shikon","1550.00","0",,"""2025-12-26T06:25:32.846Z""","Uni",,,,,
"b7225cd3-a2a4-4c0f-ba86-d86b0cbc21a6","J-09","KNEE SUPPORT SPORTIF (NEOPRENE) - S","Tynor","974.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"b7445c2e-bbea-46c8-b92e-43d5e2b99aef","K-01","K-01 UM ECO LUMBO SACRAL BELT (LT.GREY) - M","UM","750.00","0",,"""2026-01-03T19:20:31.324Z""","M",,,,,
"b79a7e32-e759-4cbe-b754-75790d2c598a","L-07","WALKING STICK (SOFT TOP HANDLE) - BLACK","Tynor","831.00","0",,"""2026-01-06T17:25:41.774Z""","BLACK",,,,,
"b81eaf73-4d8e-49c3-8f15-34d9f63edcb3","A-23","A-23 UM U-TECH LUMBER CORSET(LACE PULL SLIM FIT) BLACK-L & XL","UM","1800.00","0",,"""2026-01-03T19:20:31.324Z""","L & XL",,,,,
"b825a48a-a156-469a-a3f1-ec6558c9343c","B-03","B-03 UM CERVICAL COLLAR HARD ADJUSTABLE WHITE- S","UM","450.00","0",,"""2026-01-03T19:20:31.324Z""","S",,,,,
"b87fd9d5-b808-4d25-b461-93f3ac6a3afc","H-11","COOL PACK - L","Tynor","520.00","0",,"""2026-01-06T17:25:41.774Z""","L",,,,,
"b8bd9905-f372-4c2f-89c2-44cfd29ab115","A-13","TAYLOR BRACE SHORT - SPL SIZE","Tynor","2888.00","0",,"""2026-01-06T17:25:41.774Z""","SPL",,,,,
"b90678bf-f342-4b1a-9c0a-4058cbd90412","J-36","J-36 UM D.V.T STOCKING THIGH HIGH - M","UM","1900.00","0",,"""2026-01-03T19:20:31.324Z""","M",,,,,
"b91adfe4-5356-4824-98fb-97e7b835731e","G-02","G-02 UM WRIST COCK UP SPLINT (BLACK) - L","UM","520.00","0",,"""2026-01-03T19:20:31.324Z""","L",,,,,
"b91db7d8-6955-4af3-9dda-13bb080b7b55","J-16","ANKLE WRAP (NEOPRENE) - SPL","Tynor","787.00","0",,"""2026-01-06T17:25:41.774Z""","SPL",,,,,
"b9beaee5-f2a7-4e56-85a9-58ec291c7ec7","G-23","G-23 UM WRIST & FOREARM BRACE LONG (BLACK) - UNI","UM","750.00","0",,"""2026-01-03T19:20:31.324Z""","UNI",,,,,
"b9f866a5-752e-49ec-9fa1-250327738e3a","H-10","H-10 UM TRACTION WEIGHT BAG TRANSPARENT - UNI","UM","400.00","0",,"""2026-01-03T19:20:31.324Z""","UNI",,,,,
"ba0339ab-34b2-4dd1-9c8a-03067d4f07fe","F-17","F-17 UM O.A KNEE SUPPORT CROSS FIT (BLACK) - LT - L","UM","1500.00","0",,"""2026-01-03T19:20:31.324Z""","LT - L",,,,,
"ba7eac66-12c6-41c2-acb1-24156d3bfbb6","I-08","I-08 UM EXERCISE GEL BALL (RED) - UNI","UM","430.00","0",,"""2026-01-03T19:20:31.324Z""","UNI",,,,,
"bb43e9b4-68f8-4f2a-8a86-e1c3547d3a17","F-13","F-13 UM OA KNEE BRACE (BLACK) - RT-L","UM","9500.00","0",,"""2026-01-03T19:20:31.324Z""","RT-L",,,,,
"bbbf890c-40db-4b13-8bc6-100adf02ea92","2001640","Morison MBD XTRA SOFT DIAPER PANTS (M)-32","Morison","374.06","0",,"""2025-12-20T17:49:08.577Z""","M-32",,,"PantM32",,
"bc0abb72-29b6-4274-be84-aa478fee542b","SK006","SK-006 Shikon FINGERTIP PULSE OXIMETER , GREY","Shikon","1950.00","0",,"""2025-12-26T06:25:32.846Z""","Uni",,,,,
"bc29781a-2ba4-4318-bc50-9298d89e5eb5","YK‐81A","FINGERTIP PULSE OXIMETER","ACCUSURE","2155.00","0",,"""2025-12-30T06:49:03.935Z""","No Size",,,,,
"bc525ed0-19ca-4535-a2b1-dfb33a0c53f6","A-01","ABDOMINAL SUPPORT 9"" SPL XXXL","Tynor","861.00","0",,"""2026-01-06T17:25:41.774Z""","XXXL",,,,,
"bc6e6938-310d-420d-be82-22c5d5854b4a","AS-0064","PAPER TAPE 9 METER","ACCUSURE","843.00","0",,"""2025-12-30T06:49:03.935Z""","ALL SIZES",,,,,
"bc73cf39-4598-4bc7-ba7c-bcf0e71ffe82","K-03","K-03 UM ECO CONTOURED LUMBAR CORSET WITH STRAP (LT.GREY) - L","UM","734.00","0",,"""2026-01-03T19:20:31.324Z""","L",,,,,
"bcc0f0ce-145e-4f42-8c7b-cf98dfccbf6f","D-08","ELASTIC KNEE SUPPORT -S","Tynor","830.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"bcdfb716-932d-4008-a83d-f179b0f853a1","PED-07","PED-07 UM PAEDIATRIC SHOULDER IMMOBILIZER - 1-5 YRS","UM","800.00","0",,"""2026-01-03T19:20:31.324Z""","1-5 YRS",,,,,
"bd5e02c9-25c0-4e2c-a58d-558c5dc28a50","2001507","Morison MBD KIDS TOOTHPAST - 50gm STRAWBERRY","Morison","79.19","0",,"""2025-12-20T17:49:08.577Z""","50GM",,,"KIDS TOOTHPASTE",,
"bd65ac5f-3558-494a-ace7-b25cc9e6cbbe","2001638","Morison MBD XTRA SOFT DIAPER PANTS (L)-8","Morison","92.81","0",,"""2025-12-20T17:49:08.577Z""","L-8",,,"PantL8",,
